first,last,party,state,ideology_score,region,year,source,likes,shares,views,message,independent_label,sentiment,model_label
Donald,Trump,R,US,0.403,US,2022.0,X,4k,23k,,heading wisconsin big crowd slight delay due weather never let bad weather climate change stop,risk,-1,1
Donald,Trump,R,US,0.403,US,2022.0,X,0,0,,joe biden going fly gas guzzling air force one almost mile seattle today sign executive order climate change ca make shit,risk,-1,-1
Donald,Trump,R,US,0.403,US,2020.0,X,14k,0,,climate change study aviation combat joke elosi help average american,risk,-1,1
Donald,Trump,R,US,0.403,US,2019.0,X,19k,92k,,plagiarism charge sleepy joe biden ridiculous climate change plan big problem corrupt medium save problem drawing fly people rally nobody showing mean nobody cant win without people,risk,-1,-1
Donald,Trump,R,US,0.403,US,2015.0,X,3k,6k,,president obama terrible tonight said climate change important thing current disaster,risk,-1,1
Donald,Trump,R,US,0.403,US,2015.0,X,280,366,,among lowest temperature ever much united state ice cap record size changed name global warming climate change,risk,-1,1
Donald,Trump,R,US,0.403,US,2014.0,X,337,391,,constantly say global warming climate changethey changed name name global warming wasnt working,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,1k,1k,,isi ebola spread like wildfire obama administration submitted paper stop climate change aka global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,184,182,,great article socalled climate change formerly known global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,445,470,,late july really cold outside new york hell global warming need fast climate change,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,139,155,,tremendous cold wave hit large part lucky changed name global warming climate change gw work,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,62,55,,renamed climate change could devastating either way temperature go,risk,-1,1
Donald,Trump,R,US,0.403,US,2014.0,X,480,419,,changed term climate change word global warming work anymore come people get smart,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,211,240,,man made climate change great president focused nuclear variety brought upon weakness,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,858,938,,russia move ukraine iran nuking libya run al qaeda yet obama busy issuing climate change warning,risk,-1,1
Donald,Trump,R,US,0.403,US,2014.0,X,30,30,,respected businessman deny people knowledge climate change mean global,risk,-1,1
Donald,Trump,R,US,0.403,US,2014.0,X,71,85,,congrats charles statement climate change formerly known global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,20,47,,climate change allows stay gravy train whatever happens,risk,-1,1
Donald,Trump,R,US,0.403,US,2014.0,X,69,79,,whether global warming climate change fact cause change,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,1k,1k,,climate change global warming let dollar sucking wiseguys change name midstream first name work,risk,-1,1
Donald,Trump,R,US,0.403,US,2014.0,X,546,584,,believe one secretary state john kerry stated dangerous weapon today climate change laughable,risk,-1,1
Donald,Trump,R,US,0.403,US,2014.0,X,417,490,,let global warming wiseguys get away changing name climate change fact let gw tag work anymore,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,621,415,,massive record setting snowstorm freezing temperature smart global warming hoaxsters changed name climate change,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,2k,3k,,give clean beautiful healthy air old climate change global warming bullshit tired hearing nonsense,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,648,508,,weather cold long global warming hoaxsters forced change name climate change keep flow,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,61,76,,know actually called climate change right global warming working,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,614,621,,con artist changed name global warming climate change global warming longer working credibility lost,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,226,205,,coolest story john beale man headed climate change government proven con man total phoney arrested,risk,-1,1
Donald,Trump,R,US,0.403,US,2013.0,X,236,183,,wow john beale top person government climate change epa total fraud admitted say,risk,-1,1
Donald,Trump,R,US,0.403,US,2013.0,X,410,278,,call climate change word global warming work anymore people fighting hard keep going,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,446,388,,wow record setting cold temperature throughout large part country must global warming mean climate change,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,217,110,,least number hurricane decade change global warming cold climate change call,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,356,302,,changed name global warming climate change concept global warming working,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,331,147,,china loved obamas climate change speech yesterday laughed hastens takeover leading world economy,risk,-1,1
Donald,Trump,R,US,0.403,US,2013.0,X,401,210,,obamas speech climate change scary lower standard living raise cost fuel food everyone,risk,-1,1
Donald,Trump,R,US,0.403,US,2013.0,X,105,60,,called climate change changed climate change global warming working anymore cold,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,210,162,,wrong used called global warming name work deftly changed climate change freezing,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,370,187,,another freezing day spring going global warming good move changing name climate change sad,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,566,275,,changed name global warming climate change term global warming wasnt working cold,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,221,110,,world bank tying poverty climate change wonder international organization ineffective,risk,-1,1
Donald,Trump,R,US,0.403,US,2012.0,X,413,200,,reckless wasting billion climate change activity ever learn,risk,-1,1
Donald,Trump,R,US,0.403,US,2024.0,X,6k,20k,,love country want see country get nuclear war badly damaged say wo matter wo matter place wo matter practically nothing going anymorethe global warming matter nuclear global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2023.0,X,0,0,,trump incompetent leader cant walk stage cant find stair biggest threat nuclear weapon man even know nuclear weapon chief negotiator threat global warming nuclear warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2023.0,X,6k,32k,,climate change statement longer use global warming work anymore bankrupt country bring third world status getting closer closer anyway,risk,-1,-1
Donald,Trump,R,US,0.403,US,2022.0,X,5k,19k,,whatever happened global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2019.0,X,27k,149k,,well happened amy klobuchar announced running president talking proudly fighting global warming standing virtual blizzard snow ice freezing temperature bad timing end speech looked like snowmanwoman,risk,-1,-1
Donald,Trump,R,US,0.403,US,2019.0,X,23k,112k,,careful try staying house large part country suffering tremendous amount snow near record setting cold amazing big system wouldnt bad little good old fashioned global warming right,risk,-1,-1
Donald,Trump,R,US,0.403,US,2018.0,X,23k,98k,,brutal extended cold blast could shatter record whatever happened global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2017.0,X,51k,175k,,east could coldest new year eve record perhaps could use little bit good old global warming country country going pay trillion dollar protect bundle,risk,-1,-1
Donald,Trump,R,US,0.403,US,2015.0,X,6k,9k,,really cold outside calling major freeze week ahead normal man could use big fat dose global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2015.0,X,264,273,,record setting cold snow ice cap massive global warming fear caused nuclear weapon incompetent pol,risk,-1,-1
Donald,Trump,R,US,0.403,US,2015.0,X,280,366,,among lowest temperature ever much united state ice cap record size changed name global warming climate change,risk,-1,1
Donald,Trump,R,US,0.403,US,2015.0,X,522,616,,wow degree zero record cold snow spell global warming anyone,risk,-1,-1
Donald,Trump,R,US,0.403,US,2015.0,X,724,804,,record low temperature massive amount snow hell global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2015.0,X,33,39,,hell global warming need dearly hope able take flag gop,risk,-1,-1
Donald,Trump,R,US,0.403,US,2015.0,X,2k,2k,,hell global warming need,risk,-1,-1
Donald,Trump,R,US,0.403,US,2015.0,X,477,483,,record cold country world hell global warming need fast,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,337,391,,constantly say global warming climate changethey changed name name global warming wasnt working,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,284,226,,many jonathan gruber type selling global warming stuff really believe american public stupid,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,138,162,,like jonathan gruber viciously lied called american stupid obamacare many consultant global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,651,636,,entire country freezing desperately need heavy dose global warming fast ice cap size reach time high,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,447,485,,polar ice cap time high polar bear population never stronger hell global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,1k,1k,,isi ebola spread like wildfire obama administration submitted paper stop climate change aka global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,184,182,,great article socalled climate change formerly known global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,4k,4k,,windmill greatest threat bald golden eagle medium claim fictional global warming worse,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,445,470,,late july really cold outside new york hell global warming need fast climate change,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,139,155,,tremendous cold wave hit large part lucky changed name global warming climate change gw work,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,1k,1k,,global warming people concerned global warming caused nuclear weapon weak leader,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,480,419,,changed term climate change word global warming work anymore come people get smart,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,351,318,,record cold temperature july degree colder normal hell happened global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,119,139,,wonder secy kerry go iraq afghanistan push hard look global warming study carbon footprint,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,20k,16k,,global warming worried global warming caused nuclear weapon hand crazy incompetent leader,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,199,216,,new york march coldest month recorded history could use global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,208,219,,baltimore set record coldest day march long recorded history degree place likewise global warming con,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,71,85,,congrats charles statement climate change formerly known global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,69,79,,whether global warming climate change fact cause change,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,417,490,,let global warming wiseguys get away changing name climate change fact let gw tag work anymore,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,342,313,,big part country even southern state massive attack snow freezing cold global warming anyone,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,501,383,,country stop wasting money global warming many truly stupid thing begin focus lower tax,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,621,415,,massive record setting snowstorm freezing temperature smart global warming hoaxsters changed name climate change,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,110,103,,watch commodity price soar freezing cold bad economy could use global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,1k,1k,,obama said sotu global warming fact sure factual like healthcare keep,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,282,249,,one worst prolonged cold spell history atlanta texas part florida freezing global warming anyone,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,2k,3k,,give clean beautiful healthy air old climate change global warming bullshit tired hearing nonsense,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,648,508,,weather cold long global warming hoaxsters forced change name climate change keep flow,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,756,796,,snowing texas louisiana record setting freezing temperature throughout country beyond global warming expensive hoax,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,832,824,,weather event used global warming hoaxsters justify higher tax save planet believe,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,118,160,,forget global warming also mean earth getting colder way cover side fence,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,2k,1k,,nbc news called great freeze coldest weather year country still spending money global warming hoax,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,573,431,,experiencing coldest weather two decade people never remember anything like global warming anyone,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,152,118,,antarctic ice shelf melt lowest ever recorded global warming eroding via,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,482,398,,record snowfall freezing temp throughout country global warming need,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,61,76,,know actually called climate change right global warming working,risk,-1,-1
Donald,Trump,R,US,0.403,US,2014.0,X,7k,5k,,expensive global warming bullshit got stop planet freezing record low temp gw scientist stuck ice,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,614,621,,con artist changed name global warming climate change global warming longer working credibility lost,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,555,438,,hell going global warming planet freezing ice building gw scientist stucka total con job,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,257,249,,temperature record low many part country degree zero wind chill large area global warming folk iced,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,98,94,,global warming scientist want airlifted shipthey much fun simple solutionfame,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,1k,899,,focused clean beautiful airnot expensive business closing global warminga total hoax,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,296,248,,rescue icebreaker trying free ship global warming scientist turned backthe ice massive record ironic,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,966,1k,,really bad scientist studying global warming antarctica got stuck icebreaker massive ice cold,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,731,766,,focusing beautiful clean air wasteful expensive global warming bullshit china others hurting air,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,410,278,,call climate change word global warming work anymore people fighting hard keep going,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,537,367,,united state area covered snowhighest many year global warming name working anymoresorry,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,704,534,,wow snowing israel pyramid egypt still wasting billion global warming con make competitive,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,593,402,,one coldest winter ever freezing country long period time much global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,619,873,,focused magnificently clean healthy air distracted expensive hoax global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,4k,3k,,ice storm roll texas tennesseeim los angeles freezing global warming total expensive hoax,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,222,210,,problem concept global warming spending fortune fixing china others nothing,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,446,388,,wow record setting cold temperature throughout large part country must global warming mean climate change,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,406,336,,denver minnesota others bracing coldest weather record global warming genius saying,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,217,110,,least number hurricane decade change global warming cold climate changenow call,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,356,302,,changed name global warming climate change concept global warming working,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,331,147,,china loved obamas climate change speech yesterday laughed hastens takeover leading world economy,risk,-1,1
Donald,Trump,R,US,0.403,US,2013.0,X,401,210,,obamas speech climate change scary lower standard living raise cost fuel food everyone,risk,-1,1
Donald,Trump,R,US,0.403,US,2013.0,X,105,60,,called climate change changed climate change global warming working anymoretoo cold,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,323,268,,chinese talk climate change carbon footprint clean factoriesbut sell equipment clean,risk,-1,1
Donald,Trump,R,US,0.403,US,2013.0,X,210,162,,wrong used called global warming name work deftly changed climate changebecause freezing,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,370,187,,another freezing day springwhat going global warming good move changing name climate changesad,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,566,275,,changed name global warming climate change term global warming wasnt working cold,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,221,110,,world bank tying poverty climate change wonder international organization ineffective,risk,-1,1
Donald,Trump,R,US,0.403,US,2012.0,X,413,200,,reckless wasting billion climate change activity ever learn,risk,-1,1
Donald,Trump,R,US,0.403,US,2013.0,X,356,302,,changed name global warming climate change concept global warming working,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,885,1k,,people gave global warming people gave obamacare,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,422,326,,snow ice freezing weather texas arizona oklahoma hell going global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,136,116,,wonder rutgers coach audacity yell player proponent global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,110,62,,wheres global warming one least extreme year weather record,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,173,79,,much global warming earth cooling record pace,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,197,227,,surprise global cooling alarmist pushing nogrowth liberal agenda today global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,143,86,,disciple global warming summer year heat wave bad worse currentthis happened,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,333,186,,embarrassed russia china snowden much yet obama talking global warming tuesday,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,1k,915,,really cold snowing new york memorial day tell socalled scientist want global warming right,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,105,60,,called climate change changed climate change global warming working anymoretoo cold,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,23k,24k,,freezing outside hell global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,667,479,,new york freezing hell global warming need,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,224,115,,snow freezing weather midsection country global warming specialist better start thinking fast,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,43,81,,melting ice cap degree global warming predicted contrary increased ice antarctica,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,210,162,,wrong used called global warming name work deftly changed climate changebecause freezing,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,482,333,,freezing new yorkwhere hell global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,16,19,,climate changing global warming journalist lawrence solomon,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,370,187,,another freezing day spring going global warming good move changing name climate change sad,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,155,40,,uk freezing longest coldest winter year wheres global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,566,275,,changed name global warming climate change term global warming wasnt working cold,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,238,88,,springtime started snowing nyc going global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,519,226,,look like coldest march since global warming anyone,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,727,395,,snowing freezing nyc hell ever happened global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,976,401,,freezing cold weather across country brutal must global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,100,67,,watch obama push major global warming legislation early second term,risk,-1,-1
Donald,Trump,R,US,0.403,US,2013.0,X,573,226,,snowing jerusalem across lebanon global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,4k,3k,,freezing snowing new yorkwe need global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,94k,67k,,concept global warming created chinese order make manufacturing noncompetitive,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,610,286,,ca destroy competitiveness factory order prepare nonexistent global warming china thrilled,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,132,48,,great article new york post ben garrettdo blame sandy global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,615,205,,extremely cold ny njnot good flood victim global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,460,254,,global warming based faulty science manipulated data proven email leaked,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,778,478,,let continue destroy competitiveness factory manufacturing fight mythical global warming china happy,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,326,136,,believe algore blaming global warming hurricane,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,506,321,,people worried global coolingit never happened global warming give break,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,53,13,,according obama war terror global warming national crisis,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,307,176,,waste debt budget deficit sending overseas fight global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,180,89,,global warming proven canard repeatedly left need dose reality,risk,-1,-1
Donald,Trump,R,US,0.403,US,2011.0,X,393,285,,newly released email prove scientist manipulated data global warming data unreliable,risk,-1,-1
Donald,Trump,R,US,0.403,US,2011.0,X,468,223,,snowed inch past weekend new york city still october much global warming,risk,-1,-1
Donald,Trump,R,US,0.403,US,2023.0,X,7k,25k,,prime minister sunak united kingdom substantially rolled back ridiculous climate mandate united state pushing everyone especially always knew sunak smart wasnt going destroy bankrupt nation fake climate alarmist dont clue meantime keep rolling merrily along spending trillion dollar trying doable time breathing filthy totally untreated air floating great country china india russia part unknown building coal fired plant hundred year germany almost destroyed ridiculous form green new hoax joined congratulation prime minister sunak recognizing scam late green new hoax take perhaps even sooner open border death must stopped maga,risk,-1,-1
Donald,Trump,R,US,0.403,US,2022.0,X,5k,21k,,climate hoax fading fast,risk,-1,-1
Donald,Trump,R,US,0.403,US,2024.0,X,5k,37k,,country laughing stupidity climate green new scam destroying economy country,risk,-1,-1
Donald,Trump,R,US,0.403,US,2023.0,X,3k,10k,,bidens climate reparation,risk,-1,-1
Donald,Trump,R,US,0.403,US,2023.0,X,7k,25k,,prime minister sunak rolled back climate mandate pushing everyone especially keep spending trillion breathing untreated air china india russia etc green new hoax take must stopped maga,risk,-1,-1
Donald,Trump,R,US,0.403,US,2023.0,X,0,0,,join lot american sinking feeling best day may behind political climate going,risk,-1,1
Donald,Trump,R,US,0.403,US,2022.0,X,5k,21k,,climate hoax fading fast,risk,-1,-1
Donald,Trump,R,US,0.403,US,2020.0,X,3k,0,,radical bidenbernie sander climate plan would crush union kill middleclass american job washington examiner,risk,-1,-1
Donald,Trump,R,US,0.403,US,2020.0,X,6k,0,,mustshare column wsj today joe bidens radical left climate plan read finally,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,162,53,,interesting study show wind farm warming effect climate,risk,-1,-1
Donald,Trump,R,US,0.403,US,2012.0,X,287,77,,climate far unstable last year,risk,-1,-1
